Time, Time (seconds), ACID, Latitude, Longitude, GroundSpeed, IndicatedSpeed, Altitude, Heading, Track Distance, Beacon Code
00hr:00min:00.00sec,0.00, AWE327, 39.2255, -76.6012, 290.82, 250.00, 10000.00, 221.00, 0.0, NA
00hr:00min:04.70sec,4.70, AWE327, 39.2207, -76.6066, 290.82, 250.00, 10000.00, 221.00, 0.38003715184484094, NA
00hr:00min:09.40sec,9.40, AWE327, 39.2159, -76.6119, 290.82, 250.00, 10000.00, 221.00, 0.7600746180812104, NA
00hr:00min:14.10sec,14.10, AWE327, 39.2112, -76.6172, 290.82, 250.00, 10000.00, 221.00, 1.140112398717179, NA
00hr:00min:18.80sec,18.80, AWE327, 39.2064, -76.6226, 290.82, 250.00, 10000.00, 221.00, 1.520150493764456, NA
00hr:00min:23.50sec,23.50, AWE327, 39.2016, -76.6279, 290.82, 250.00, 10000.00, 221.00, 1.9001889032228814, NA
00hr:00min:28.20sec,28.20, AWE327, 39.1968, -76.6333, 290.82, 250.00, 10000.00, 221.00, 2.280227627095962, NA
00hr:00min:32.90sec,32.90, AWE327, 39.1920, -76.6386, 290.82, 250.00, 10000.00, 221.00, 2.660266665392556, NA
00hr:00min:37.60sec,37.60, AWE327, 39.1873, -76.6439, 290.82, 250.00, 10000.00, 221.00, 3.0403060181166204, NA
00hr:00min:42.30sec,42.30, AWE327, 39.1825, -76.6493, 290.82, 250.00, 10000.00, 221.00, 3.420345685275016, NA
00hr:00min:47.00sec,47.00, AWE327, 39.1777, -76.6546, 290.82, 250.00, 10000.00, 221.00, 3.800385666870187, NA
00hr:00min:51.70sec,51.70, AWE327, 39.1729, -76.6599, 290.82, 250.00, 10000.00, 221.00, 4.1804259629094735, NA
00hr:00min:56.40sec,56.40, AWE327, 39.1681, -76.6653, 290.82, 250.00, 10000.00, 221.00, 4.560466573399665, NA
00hr:01min:01.10sec,61.10, AWE327, 39.1633, -76.6706, 290.82, 250.00, 10000.00, 221.00, 4.940507498340506, NA
00hr:01min:05.80sec,65.80, AWE327, 39.1586, -76.6759, 290.82, 250.00, 10000.00, 221.00, 5.32054873773712, NA
00hr:01min:10.50sec,70.50, AWE327, 39.1538, -76.6813, 290.82, 250.00, 10000.00, 221.00, 5.7005902916013955, NA
00hr:01min:15.20sec,75.20, AWE327, 39.1490, -76.6866, 290.82, 250.00, 10000.00, 221.00, 6.080632159938095, NA
00hr:01min:19.90sec,79.90, AWE327, 39.1442, -76.6919, 290.82, 250.00, 10000.00, 221.00, 6.460674342743424, NA
00hr:01min:24.60sec,84.60, AWE327, 39.1394, -76.6973, 290.82, 250.00, 10000.00, 221.00, 6.84071684003424, NA
00hr:01min:29.30sec,89.30, AWE327, 39.1346, -76.7026, 290.82, 250.00, 10000.00, 221.00, 7.220759651804262, NA
00hr:01min:34.00sec,94.00, AWE327, 39.1299, -76.7079, 290.82, 250.00, 10000.00, 221.00, 7.600802778066173, NA
00hr:01min:38.70sec,98.70, AWE327, 39.1251, -76.7133, 290.82, 250.00, 10000.00, 221.00, 7.9808462188227365, NA
00hr:01min:43.40sec,103.40, AWE327, 39.1203, -76.7186, 290.82, 250.00, 10000.00, 221.00, 8.360889974078862, NA
00hr:01min:48.10sec,108.10, AWE327, 39.1155, -76.7239, 290.82, 250.00, 10000.00, 221.00, 8.740934043838651, NA
00hr:01min:52.80sec,112.80, AWE327, 39.1107, -76.7292, 290.82, 250.00, 10000.00, 221.00, 9.120978428109677, NA
00hr:01min:57.50sec,117.50, AWE327, 39.1059, -76.7346, 290.82, 250.00, 10000.00, 221.00, 9.501023126894651, NA
00hr:02min:02.20sec,122.20, AWE327, 39.1011, -76.7399, 290.82, 250.00, 10000.00, 221.00, 9.88106814020025, NA
00hr:02min:06.90sec,126.90, AWE327, 39.0964, -76.7452, 290.82, 250.00, 10000.00, 221.00, 10.261113468030526, NA
00hr:02min:11.60sec,131.60, AWE327, 39.0916, -76.7505, 290.82, 250.00, 10000.00, 221.00, 10.641159110390458, NA
00hr:02min:16.30sec,136.30, AWE327, 39.0868, -76.7558, 290.82, 250.00, 10000.00, 221.00, 11.021205067283606, NA
00hr:02min:21.00sec,141.00, AWE327, 39.0820, -76.7612, 290.82, 250.00, 10000.00, 221.00, 11.401251338718385, NA
00hr:02min:25.70sec,145.70, AWE327, 39.0772, -76.7665, 290.82, 250.00, 10000.00, 221.00, 11.7812979246974, NA
00hr:02min:30.40sec,150.40, AWE327, 39.0724, -76.7718, 290.82, 250.00, 10000.00, 221.00, 12.161344825225699, NA
00hr:02min:35.10sec,155.10, AWE327, 39.0676, -76.7771, 290.82, 250.00, 10000.00, 221.00, 12.541392040307981, NA
00hr:02min:39.80sec,159.80, AWE327, 39.0628, -76.7824, 290.82, 250.00, 10000.00, 221.00, 12.921439569951767, NA
00hr:02min:44.50sec,164.50, AWE327, 39.0581, -76.7878, 290.82, 250.00, 10000.00, 221.00, 13.301487414156611, NA
00hr:02min:49.20sec,169.20, AWE327, 39.0533, -76.7931, 290.82, 250.00, 10000.00, 221.00, 13.681535572931972, NA
00hr:02min:53.90sec,173.90, AWE327, 39.0485, -76.7984, 290.82, 250.00, 10000.00, 221.00, 14.061584046278362, NA
00hr:02min:58.60sec,178.60, AWE327, 39.0437, -76.8037, 290.82, 250.00, 10000.00, 221.00, 14.441632834206631, NA
00hr:03min:03.30sec,183.30, AWE327, 39.0389, -76.8090, 290.72, 250.00, 9942.01, 221.00, 14.821653079599853, NA
00hr:03min:08.00sec,188.00, AWE327, 39.0341, -76.8143, 289.94, 250.00, 9771.37, 221.00, 15.200956165653642, NA
00hr:03min:12.70sec,192.70, AWE327, 39.0294, -76.8196, 289.17, 250.00, 9601.02, 221.00, 15.5792537591738, NA
00hr:03min:17.40sec,197.40, AWE327, 39.0246, -76.8249, 288.41, 250.00, 9430.97, 221.00, 15.956538171656666, NA
00hr:03min:22.10sec,202.10, AWE327, 39.0199, -76.8302, 287.64, 250.00, 9261.20, 221.00, 16.332828609427832, NA
00hr:03min:26.80sec,206.80, AWE327, 39.0152, -76.8355, 286.88, 250.00, 9091.73, 221.00, 16.708130571471568, NA
00hr:03min:31.50sec,211.50, AWE327, 39.0105, -76.8407, 286.13, 250.00, 8922.54, 221.00, 17.082440328156476, NA
00hr:03min:36.20sec,216.20, AWE327, 39.0058, -76.8460, 285.38, 250.00, 8753.64, 221.00, 17.455768301929744, NA
00hr:03min:40.90sec,220.90, AWE327, 39.0011, -76.8512, 284.64, 250.00, 8585.02, 221.00, 17.828124161822775, NA
00hr:03min:45.60sec,225.60, AWE327, 38.9964, -76.8564, 283.89, 250.00, 8416.69, 221.00, 18.19950859962979, NA
00hr:03min:50.30sec,230.30, AWE327, 38.9918, -76.8616, 283.16, 250.00, 8248.64, 221.00, 18.569922950564553, NA
00hr:03min:55.00sec,235.00, AWE327, 38.9871, -76.8667, 282.42, 250.00, 8080.87, 221.00, 18.939381114364757, NA
00hr:03min:59.70sec,239.70, AWE327, 38.9825, -76.8719, 281.69, 250.00, 7913.38, 221.00, 19.30788806314338, NA
00hr:04min:04.40sec,244.40, AWE327, 38.9778, -76.8770, 280.97, 250.00, 7746.16, 221.00, 19.67543633882505, NA
00hr:04min:09.10sec,249.10, AWE327, 38.9732, -76.8822, 280.25, 250.00, 7579.23, 221.00, 20.042043934980835, NA
00hr:04min:13.80sec,253.80, AWE327, 38.9686, -76.8873, 279.53, 250.00, 7412.57, 221.00, 20.407715880863694, NA
